feature,importance
LIV75F,1
LIV85C,1
PUSH,1
PAPSM,1
MONEYA,1
TOILTA,1
MEALSA,1
SHOPA,1
PHONE,1
MEDS,1
LGMUSA,1
LBAGR,1
FINEA,1
ADL6H,1
MAMMOG,1
MEMRYQ,1
MSTAT,1
ARTHRE,1
PSYCHQ,1
FIMRC,1
STROKQ,1
HEART,1
JWEEK2,1
JPHYS,1
DOCTOR,1
NRSTIM,1
DBORLMED,1
WORK2,1
IUNWC,1
IWCMP,1
RETEMP,1
ISSI,1
IFPENA,1
IFANN,1
CANCRF,1
CANCRE,1
HIBP,1
HIBPQ,1
RYRCMP,1
SSDI,1
COVR,1
GOVMR,1
GOVMD,1
HIOTHP,1
HESRC2,1
HECOV1,1
PSTMEM,1
HERTS1,1
JCPENF,1
PSYCHE,1
DADLIV,1
IWENDM,1
MSTATF,1
IWEND,1
ARTHR,1
PTYP2,1
MEND,1
IWENDF,1
PSYCHE2,1
PSYCH,1
MLENM,1
MWID,1
INHPUN,0
PARTD,0
LUNGE,0
PUFFPOS,0
HECOV3,0
ULCER,0
BPPOS,0
DRINKR,0
HLPHRSF,0
JLINDB,0
HERTS3,0
DIABE,0
CANCRQ,0
CANCR,0
NOVOC,0
GRPL,0
HLPPDFA,0
LUNGQ,0
HLPPDFN,0
LUNG,0
HERTR3,0
GRPDOM,0
HLPPDTN,0
BACK,0
GRPPOS,0
LBCOMP,0
LBELIG,0
GOINGX,0
PMWAISTC,0
LHTACT,0
LTACTF,0
PMWGHTF,0
PMWGHTS,0
VGACTF,0
PMHGHTS,0
PMHGHT,0
TIMWLKA,0
TIMWLK,0
BALFULT,0
BALFULC,0
HSWRKF,0
HLPDYSF,0
BALSBSC,0
BALSBS,0
BALSEMIC,0
BALSEMI,0
LUNGE2,0
GRP,0
SLEEPRT,0
DCPCT4,0
SLEEPWKN,0
SDISTPY,0
SDIRECY,0
HLPRPN,0
SDIAPLY,0
HLPDYSP,0
SDIAPPY,0
SDISTP,0
SDIREC,0
SDIAPL,0
SDIDEN,0
SDIAPP,0
HLPHRSP,0
DSIAMT,0
DSSAMT,0
INHPTN,0
HLPRTN,0
MEMRYF,0
MEMRYS,0
WTR_NH,0
RISK6,0
STROKE,0
STROKF,0
NOTICS,0
STROKE2,0
MEMRYE,0
MEMRY,0
INHPPN,0
SDIAPPM,0
SLEEPFAL,0
SDIAPLM,0
HLPPDTA,0
DCMODE4,0
DCBENE4,0
DCBAL4,0
FDCBAL4,0
DCCONT4,0
PTYP4,0
SSISTPM,0
SSIRECM,0
SSIAPLM,0
SSIAPPM,0
SSISTPY,0
SSIRECY,0
SSIAPLY,0
SSIAPPY,0
LBWGTR,0
SSIREC,0
SSIAPL,0
SSIDEN,0
HLPRUN,0
SSIAPP,0
SDISTPM,0
HLPDYSU,0
HLPHRSU,0
SDIRECM,0
SSISTP,0
LBFAMHLTHPRB,0
FSADX,0
DYP,0
TR20W,0
SER7P,0
SER7W,0
BWC20P,0
BWC20W,0
MOP,0
YRP,0
LBEXT,0
DWP,0
SCISP,0
CACTP,0
PRESP,0
VPP,0
VOCABP,0
TR20P,0
DLRCW,0
DLRCP,0
IMRCW,0
IMRCP,0
SLEEPS,0
STXMED,0
STXOTH,0
STXSTRIP,0
STXNERVE,0
STXJAW,0
STXSRG,0
STXPRE,0
STXOXY,0
SLEEPT,0
SLEEPBR,0
SLEEPSN,0
MSTOTP,0
COGTOTP,0
FIMRCP,0
COGMODE,0
MNEV,0
MSTATH,0
IWBEGF,0
IWMID,0
IWMIDF,0
PROXY,0
IWSTAT,0
AGEM_M,0
AGEY_B,0
AGEY_M,0
IWENDY,0
CESDM,0
DEPREX,0
SDNRCLPS,0
FVOCABP,0
FIMRCW,0
FVPP,0
FPRESP,0
FCACTP,0
FSCISP,0
FDWP,0
FYRP,0
FDYP,0
FMOP,0
FBWC20W,0
FBWC20P,0
FSER7W,0
FSER7P,0
FDLRCW,0
FDLRCP,0
SDOTH,0
SDRSTLG,0
SDINSOM,0
LBSATFIN,0
LBSATCITY,0
EFFORX,0
LBNEGAFFECT,0
SLEEPX,0
WHAPPX,0
PTYPF4,0
PTYPF3,0
PTYPF2,0
PTYPF1,0
PTYPD4,0
PTYPD3,0
PTYPD2,0
PTYPD1,0
FLONEX,0
LBNEGAFFECT6,0
LBSATFAM,0
LBPOSAFFECT6,0
LBONCHRSTR,0
LBASSISTPRB,0
LBRLTNSHPRB,0
LBHOUSEPRB,0
LBFINPRB,0
LBWORKPRB,0
LBFAMDRUGPRB,0
HLPPDNFN,0
LBHLTHPRB,0
LBLONELY3,0
LBOPEN,0
LBCON5,0
ENLIFX,0
LBSATLEISURE,0
LBSATHLTH,0
SDAPNEA,0
JLINDC,0
DBSTAGE,0
SLEEPE,0
SLEEPQ,0
SLEEP,0
WORK70AF,0
WORK70F,0
WORK70A,0
WORK70,0
DEMENF,0
DEMENS,0
ALZHEF,0
ALZHES,0
LBSATINC,0
LBCON10,0
JLOCCC,0
LBSATLIFE,0
JCINDC,0
JCOCCC,0
OOPMDOF,0
OOPMDO,0
DEMENE2,0
DEMENE,0
DEMEN,0
DEMENQ,0
ALZHEE2,0
ALZHEE,0
ALZHE,0
ALZHEQ,0
NSSCSE,0
NSSCRE,0
INHPFN,0
PTYP3,0
ARTHRQ,0
DW,0
RETLIV,0
RETWLT,0
BWC20,0
RETWRK,0
HTR40,0
HDLR20,0
HIMR20,0
ATR20,0
ADLR10,0
AIMR10,0
FLAG,0
CONDS,0
CONDSP,0
CONDSF,0
ARTHRS,0
PSYCHS,0
STROKS,0
HEARTS,0
LUNGS,0
CANCRS,0
DIABS,0
HIBPS,0
VGACTP,0
VGACTN,0
LTACTP,0
LTACTN,0
RISK,0
GOING,0
FSAD,0
RETWSP,0
SCIS,0
SSREC,0
CACT,0
SSDEN,0
SSAPP,0
IFIRAWY1,0
TLIPRM,0
HALUC,0
HERET,0
WANDER,0
LOST,0
PRMEM,0
EYECAT,0
OOPMDF,0
SAYRET,0
SPCFAC,0
OUTPT,0
LIV85,0
FVP,0
FPRES,0
FCACT,0
FSCIS,0
FDW,0
FYR,0
FDY,0
FMO,0
FBWC20,0
FSER7,0
ACGTOT,0
AMSTOT,0
RETINC,0
PRES,0
BEQLRG,0
FLONE,0
SLEEPR,0
WORK,0
BATHW,0
DRESSW,0
PUSHW,0
ARMSW,0
DIMEW,0
LIFTW,0
STOOPW,0
CLIM1W,0
CLIMSW,0
CHAIRW,0
SITW,0
WALKRW,0
WALK1W,0
JOGW,0
WALKSW,0
DCPCT3,0
DCPCT2,0
JCPEN,0
DCMODE3,0
DCMODE2,0
DCMODE1,0
DCBENE3,0
DCBENE2,0
DCBAL3,0
PENCT,0
FDCBAL3,0
FDCBAL2,0
FDCBAL1,0
DCCONT3,0
EATW,0
BEDW,0
MAPW,0
LBRFH,0
DEPRES,0
SHLTCF,0
PEXIT,0
wave,0
ADLW,0
LGMUSW,0
MOBILW,0
CALC,0
COMP,0
MCWV,0
SLFEMP,0
EAT,0
BATH,0
LBRFY,0
MCWVW,0
ARMS,0
DIME,0
JLTENF,0
WGFHR,0
WGFWK,0
CHAIR,0
SIT,0
WALKR,0
UNEMP,0
INLBRF,0
UNION,0
CALCW,0
COMPW,0
SSAPL,0
HILTC,0
HLPHRSNF,0
FPSTME,0
NHMDAY,0
NHMMVM,0
NHMMVY,0
FVOCAB,0
FBWC86,0
HOSP,0
NRSHOM,0
HOMCAR,0
NRSNIT,0
NHMLIV,0
EARAID,0
IANN,0
IUNEM,0
BREAST,0
CHOLST,0
FLUSHT,0
HLTC5F,0
IFSDI,0
ADL5H,0
ADL5A,0
IFUNEM,0
IADL5A,0
IFWCMP,0
IFSSI,0
GROSSA,0
TOILTH,0
BEDH,0
EATH,0
BATHH,0
TOTMDF,0
TOTMBF,0
MPART,0
FSLFME,0
HLPDYSNF,0
HLPRNFN,0
INHPNFN,0
IADL5H,0
INHPE,0
SHOPH,0
MEALSH,0
MONEYH,0
MEDSH,0
PHONEH,0
DCCONT2,0
MEALS,0
ANS3PQ,0
ARTHRE2,0
STATUS,0
IMRC20,0
DLRC20,0
TR40,0
DEPWKS,0
DEPTHO,0
DEPDOWN,0
DEPNIT,0
DEPSLE,0
DEPHUN,0
DEPNOAP,0
DEPTIR,0
DEPLOS,0
FDLRC,0
DEPYR,0
DRESSH,0
WALKRH,0
BEDE,0
WALKRE,0
CLAIMED,0
PENINC,0
UNIONF,0
FSIZEF,0
COVS,0
SAMEJOB,0
SAMEMP,0
WORK65F,0
WORK62F,0
HENUM,0
COVRT,0
HIGOV,0
GOVVA,0
LIV8XF,0
GOVOT,0
HECOV2,0
HERTR2,0
PRSRC3,0
PRSRC2,0
PRPRM3,0
PRPRM2,0
HERTS2,0
SSSTPM,0
SSRECM,0
SSAPLM,0
SSAPPM,0
SSSTPY,0
SSRECY,0
SSAPLY,0
PENIC2,0
WALKSA,0
WALK1A,0
CALCA,0
SHOPR,0
MEALSR,0
MONEYR,0
MEDSR,0
PHONER,0
TOILT,0
MONEY,0
IFEARN,0
IFPEN,0
IFSSDI,0
MEDSA,0
PHONEA,0
IFUNWC,0
MAPA,0
WALKRA,0
BEDA,0
EATA,0
BATHA,0
DRESSA,0
PUSHA,0
ARMSA,0
DIMEA,0
LIFTA,0
STOOPA,0
CLIM1A,0
CLIMSA,0
CHAIRA,0
SITA,0
SSAPPY,0
