feature,importance
BMI,186
WEIGHT,109
DIAB,107
MOMAGE,82
DIABF,76
DADAGE,71
fam_KAEDUC_mean,66
fam_kid_avg_birth_year,65
HIBPE,53
DRINKD,52
SHLT,50
WTHH,47
fam_INW12,45
fam_num_kids,45
JLTEN,42
JLASTY,40
MLEN,39
LIVSIB,33
AGEM_B,32
DIABE2,31
HEIGHT,31
COG27,28
fam_K15NKID,27
JYEARS,26
LIV75R,24
DBINSULN,23
WTRESP,23
HEARTE,22
LIV75P,21
JCTEN,20
SSWRNR,19
BEQ100,19
JLOCCA,18
LIVPAR,18
CONDE,18
fam_K16NKID,18
LIV10R,18
VIGACT,18
WGIHR,17
fam_K16TCAMT_sum,17
FINR,17
MCURLN,17
BPPULS,17
JLIND,16
SER7,16
FSIZE,16
TR20,15
DRINK,15
SSWRXA,15
MSTOT,15
LIVSIS,15
SSWRER,15
JCOCC,15
OOPMD,14
fam_INW13,14
EFFORT,14
PRPRM1,14
WTCRNH,14
EYEFR,14
JMISS,14
LTACTX,13
IMRC,13
CENREG,13
SSWSER,12
IEARN,12
WLIPRM,12
LIV8XC,12
DLRC,12
FAMR,12
RETYR,12
LIV75,12
WGIWK,12
TOTMD,12
LIV10P,11
VP,11
ISRET,11
JLOCC,11
IPENA,11
DRINKN,11
URBRUR,10
EYERT,10
LIVBRO,10
JLASTM,10
LTCPRM,10
PSYCHF,10
WORKLM,10
LIV75C,10
DBDIAGYR,9
RETMON,9
JLMIS,9
JNJOB,9
DCBAL1,9
HIBPE2,9
LUNGF,9
IWBEG,9
JCIND,8
COGTOT,8
fam_K15TCAMT_sum,8
IGXFR,8
PMWAIST,8
DCCONT1,8
CENDIV,8
DOCTIM,8
JWEEKS,8
HLTC3,7
INHER,7
AGEM_E,7
JLIFT,7
JHOURS,7
PRSRC1,7
BWC86,6
DIABQ,6
PENIC1,6
PMBMI,6
IPEN,6
HIBPF,6
BEQ500,6
MOMLIV,6
HSPNIT,6
EARRT,6
JYEARM,6
fam_KAEDUC_max,5
CANCRE2,5
YR,5
LIV85R,5
fam_K15HLPDAYS_sum,5
LIV85P,5
CESD,5
WORK62,5
LIV10A,5
MDACTX,5
JSIGHT,5
CLIMS,5
VOCAB,5
IIRAWY1,5
HEARTE2,5
WORK65,5
HEARTQ,5
DSTAT,4
JSTOOP,4
JLOCCB,4
SMOKEV,4
SMOKEN,4
BPSYS,4
BEQ10K,4
JCOCCA,4
PUFF,4
RPLNYA,4
PMWGHT,4
SSWSXA,4
TYLTC,4
fam_RACOHBYR,4
MEMRYE2,4
TOTMBI,4
JJOBS,4
JCOCCB,4
fam_INW15,4
MRPREM,4
fam_K16FCAMT_sum,4
HERTR1,3
JHOUR2,3
MAP,3
PRPCNT,3
LIFEIN,3
JOG,3
STROK,3
MDIV,3
RETDTWV,3
RETSAT,3
FINPLN,3
DY,3
LIV10,3
LBSATWLF,3
fam_K15HLPHRS_sum,3
fam_K16HLPHRS_sum,3
MOBILA,3
ADL6A,3
JCINDB,3
AGEY_E,3
ISDI,3
SSWSNR,3
VGACTX,3
fam_K15FCAMT_sum,3
HEARTF,3
IIRAW,3
PTYP1,2
HLTC5,2
MO,2
DCPCT1,2
DRESS,2
MRCT,2
LBRF,2
WALKS,2
fam_INW16,2
BED,2
RPLNYR,2
JNJOB5,2
LBSATHOME,2
WALK1,2
JSTRES,2
SHLTC,2
fam_HACOHORT,2
LIFT,2
ISSDI,2
DRUGS,2
ARTHRF,2
HSPTIM,2
SLFMEM,2
PNHM5Y,2
IFSRET,2
IFGXFR,2
PENI_N,2
BEQANY,2
HESRC3,2
BPDIA,2
HESRC1,2
CONDEF,2
LIV85F,2
SSSTP,2
BALFUL,2
RXPREM,2
HLPRFN,2
SLEEPWKE,2
SADLF,1
HLPPDNFA,1
IFIRAW,1
HLPDYST,1
DEPPOR,1
STOOP,1
DEPEVD,1
CLIM1,1
DEPCON,1
DCBAL2,1
DEPRECM,1
fam_INW14,1
SHOP,1
EYENR,1
HLTHLM,1
EYEGLC,1
PRCHMEM,1
DCBENE1,1
fam_K16HLPDAYS_sum,1
PROST,1
JOGA,1
LBLONELY11,1
LBNEUR,1
ENLIFE,1
DENTST,1
ALONE,1
LBPOSAFFECT,1
GRPR,1
WHAPPY,1
HLPHRST,1
