feature,importance
DWP,0
HLPHRSF,0
SCISP,0
SDIAPP,0
PRESP,0
INHPFN,0
HLPPDNFN,0
HLPPDNFA,0
HLPHRSNF,0
HLPRNFN,0
MEALSH,0
VPP,0
INHPNFN,0
IADL5H,0
INHPE,0
VOCABP,0
MSTOTP,0
COGTOTP,0
FIMRCP,0
SHOPH,0
FIMRCW,0
FDLRCP,0
SDOTH,0
SDIAPPM,0
SDIDEN,0
PMHGHTS,0
LBSATLIFE,0
NSSCRE,0
NSSCSE,0
ALZHEQ,0
ALZHE,0
TIMWLKA,0
TIMWLK,0
BALFULT,0
ALZHEE,0
BALFULC,0
BALFUL,0
BALSBSC,0
BALSBS,0
BALSEMIC,0
BALSEMI,0
ALZHEE2,0
GRPPOS,0
DEMENQ,0
DEMEN,0
GRPDOM,0
PUFFPOS,0
DEMENE,0
BPPOS,0
DEMENE2,0
BPDIA,0
LBSATHLTH,0
PMWGHTS,0
OOPMDOF,0
PMWGHTF,0
LBSATWLF,0
LBSATFIN,0
PTYPD3,0
LBPOSAFFECT6,0
PTYPD4,0
LBONCHRSTR,0
LBASSISTPRB,0
PTYPF1,0
LBRLTNSHPRB,0
LBHOUSEPRB,0
LBFINPRB,0
LBWORKPRB,0
LBFAMDRUGPRB,0
LBFAMHLTHPRB,0
LBHLTHPRB,0
PTYPF2,0
PTYPF3,0
LBAGR,0
PTYPF4,0
LBCOMP,0
DEPSLE,0
LBSATCITY,0
PMWAISTC,0
LBSATLEISURE,0
LBSATFAM,0
OOPMDO,0
JCOCCC,0
SDIAPL,0
SSIAPLM,0
SSISTPY,0
SSIRECY,0
SSIAPLY,0
SLEEPQ,0
SSIAPPY,0
SLEEPE,0
SSISTP,0
DBSTAGE,0
SSIREC,0
SDAPNEA,0
SSIAPL,0
SSIDEN,0
SSIAPP,0
SDISTPM,0
SDIRECM,0
SDINSOM,0
SDIAPLM,0
PTYPD1,0
SDISTPY,0
SDIRECY,0
SDIAPLY,0
SDRSTLG,0
SDIAPPY,0
SDISTP,0
SDIREC,0
SSIAPPM,0
